Angle,DRValue,,,é¸îgêî [mm^-1],é¸ä˙ [mm],DRValue [um]_amp
11.1,-0.776,,445,1.236196958,0.808932584,0.006716615
11.125,-0.753,,446,1.238974929,0.807118834,0.001988396
11.15,-0.737,,447,1.2417529,0.805313199,0.00630408
11.175,-0.709,,448,1.24453087,0.803515625,0.008449422
11.2,-0.687,,449,1.247308841,0.801726058,0.004648813
11.225,-0.663,,450,1.250086812,0.799944444,0.001864673
11.25,-0.637,,451,1.252864782,0.798170732,0.00562599
11.275,-0.618,,452,1.255642753,0.796404867,0.003063015
11.3,-0.61,,453,1.258420724,0.794646799,0.005777761
11.325,-0.608,,454,1.261198694,0.792896476,0.007235757
11.35,-0.62,,455,1.263976665,0.791153846,0.007560155
11.375,-0.646,,456,1.266754636,0.78941886,0.002665224
11.4,-0.682,,457,1.269532606,0.787691466,0.005823898
11.425,-0.73,,458,1.272310577,0.785971616,0.005423227
11.45,-0.783,,459,1.275088548,0.784259259,0.004363021
11.475,-0.843,,460,1.277866519,0.782554348,0.00648085
11.5,-0.911,,461,1.280644489,0.780856833,0.015336267
11.525,-0.983,,462,1.28342246,0.779166667,0.002448259
11.55,-1.033,,463,1.286200431,0.777483801,0.002894291
11.575,-1.097,,464,1.288978401,0.77580819,0.008231692
11.6,-1.144,,465,1.291756372,0.774139785,0.002029093
11.625,-1.186,,466,1.294534343,0.772478541,0.003754765
11.65,-1.206,,467,1.297312313,0.770824411,0.011464246
